"","aprovado_vaga","codigo_vaga","ultimo_cargo_candidato","area_interesse_candidato","nivel_candidato","formacao_candidato","cargo_vaga","cidade_vaga","ultimo_salario_candidato","nivel_ingles_candidato","nivel_espanhol_candidato","mediana_teste_ingles_candidato","mediana_teste_espanhol_candidato","mediana_teste_logica_candidato","mediana_teste_outros_candidato"
"25700",NA,"J","TRAINEE","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",9100,4,0,7,0,7.33500003814697,7
"25701",NA,"J","OUTROS","COMPRAS","SENIOR","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",7653,4,3,8,7.5,6.67000007629395,7
"25702",NA,"J","OUTROS","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1978,3,0,4.75,6.75,7.34000015258789,7.40000009536743
"25703",NA,"J","CONSULTOR","ADMINISTRACAO","SENIOR","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,1,8,0,7.5,8.5
"25704",NA,"J","TECNICO","TECNOLOGIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2100,1,0,3.00999999046326,3.25,3.32999992370605,4
"25705",NA,"J","ADMINISTRATIVO","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",2100,3,2,3.375,4.25,5.98999977111816,4.5
"25706",NA,"J","SUPERVISOR","ADMINISTRACAO","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",2000,3,1,5,0,5.98000001907349,6.40000009536743
"25707",NA,"J","PROFESSOR","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,1,0,0,0,8.75
"25708",NA,"J","ANALISTA","ADMINISTRACAO","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",0,0,0,0,0,0,5.09999990463257
"25709",NA,"J","OPERADOR","ENGENHARIA","TECNICO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2200,0,0,0,0,0,5.15000009536743
"25710",NA,"J","TECNICO","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",540,1,0,0,0,0,6.5
"25711",NA,"J","ANALISTA","FINANCAS","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4000,4,2,3.125,0,5.32000017166138,2.5
"25712",NA,"J","CONSULTOR","INDUSTRIA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",680,3,1,4,2.5,4.83500003814697,3
"25713",NA,"J","EMPREENDEDOR","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,1,4.75,0,7.98999977111816,3.54999995231628
"25714",NA,"J","ANALISTA","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",3200,4,2,6.70499992370605,0,6.65000009536743,7.54999995231628
"25715",NA,"J","NAO CLASSIFICADO","LOGISTICA","NULL","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,3,1,0,0,0,3.20000004768372
"25716",NA,"J","OUTROS","ENGENHARIA","TECNICO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,3,0,0,0,0,7.59999990463257
"25717",NA,"J","AUXILIAR","INDUSTRIA","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",1815,2,0,3.75,0,4.65999984741211,7.09999990463257
"25718",NA,"J","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",900,0,1,2,0,4,4.80000019073486
"25719",NA,"J","GESTOR","ENGENHARIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",7500,3,1,7.875,0,5.98999977111816,8
"25720",NA,"J","GESTOR","ENGENHARIA","GERENCIA","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,2,1,3.5,0,7,4
"25721",NA,"J","ENGENHEIRO","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",5500,4,0,6.34000015258789,0,7.06000018119812,8.19999980926514
"25722",NA,"J","OUTROS","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,4,2,8,0,6.25,6.64999985694885
"25723",NA,"J","OPERADOR","COMERCIAL/VENDAS","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2800,2,0,7.98000001907349,0,5.32000017166138,4.69999980926514
"25724",NA,"J","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,0,0,0,0,0,7.40000009536743
"25725",NA,"J","OUTROS","OUTROS","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","NULL","PARANAGUA",0,0,0,8,0,8.65999984741211,8.19999980926514
"25726",NA,"J","NAO CLASSIFICADO","LOGISTICA","NULL","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",0,2,0,0,0,0,8.60000038146973
"25727",NA,"J","CONSULTOR","ADMINISTRACAO","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",1500,2,0,0,0,4.67000007629395,3
"25728",NA,"J","ESTAGIARIO","INDUSTRIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",1500,3,4,0,0,0,8.09999990463257
"25729",NA,"J","ENGENHEIRO","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",4800,4,1,4.875,0,6,1.3
"25730",NA,"J","OUTROS","ENGENHARIA","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL MESTRADO","NULL","PARANAGUA",0,1,1,4.625,0,3.3199999332428,7.54999995231628
"25731",NA,"J","TECNICO","SSMA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","NULL","PARANAGUA",2000,3,1,4.875,0,7.66499996185303,5.69999980926514
"25732",NA,"J","ESTAGIARIO","COMERCIAL/VENDAS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","NULL","PARANAGUA",0,1,2,3.00499999523163,0,5.09999990463257,4
