"","aprovado_vaga","codigo_vaga","ultimo_cargo_candidato","area_interesse_candidato","nivel_candidato","formacao_candidato","cargo_vaga","cidade_vaga","ultimo_salario_candidato","nivel_ingles_candidato","nivel_espanhol_candidato","mediana_teste_ingles_candidato","mediana_teste_espanhol_candidato","mediana_teste_logica_candidato","mediana_teste_outros_candidato"
"1","0","K","TRAINEE","INDUSTRIA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",0,2,1,6.45000004768372,0,6.25,7
"2","0","K","ENGENHEIRO","ADMINISTRACAO","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1500,4,1,8,0,7.98999977111816,8.19999980926514
"3","0","K","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2050,2,0,3.875,0,5.32999992370605,5.40000009536743
"4","0","K","OUTROS","MARKETING","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,0,7.25,0,7.98999977111816,6.25
"5","0","K","PESQUISADOR","MARKETING","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1890,3,4,5.25,6.375,6.65000009536743,7
"6","0","K","ANALISTA","COMERCIAL/VENDAS","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3400,3,0,4.5,0,5,6
"7","0","K","AUXILIAR","QUALIDADE","AUXILIAR/OPERACIONAL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1500,2,0,3,0,5.98999977111816,2.85000002384186
"8","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1253,3,1,4.625,0,7.83500003814697,4.90000009536743
"9","0","K","ANALISTA","RH","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",4500,4,1,7.625,0,8.04999995231628,7.59999990463257
"10","0","K","ESTAGIARIO","OUTROS","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,0,0,0,0,0,3.09999990463257
"11","0","K","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",1500,3,1,3.75,0,5.65499973297119,8.19999980926514
"12","0","K","GESTOR","COMERCIAL/VENDAS","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",1900,1,0,3.47000002861023,0,5,5.5
"13","0","K","NAO CLASSIFICADO","COMERCIAL/VENDAS","NULL","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",0,4,1,0,0,8.65999984741211,4
"14","0","K","SUPERVISOR","INDUSTRIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,1,8.42000007629395,0,1.04949998855591,1.19500000476837
"15","0","K","SUPERVISOR","INDUSTRIA","SUPERVISAO/COORDENACAO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3700,4,3,7.25,0,8.65999984741211,8.19999980926514
"16","0","K","ADVOGADO","ADVOCACIA/JURIDICA","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",750,3,1,6,4.25,6.65999984741211,7.20000004768372
"17","0","K","NAO CLASSIFICADO","INDUSTRIA","NULL","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",800,1,4,3.875,0,6.65999984741211,4
"18","0","K","OUTROS","PRODUCAO","ESTAGIO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,0,7.875,0,8.28999996185303,8
"19","0","K","CONSULTOR","COMERCIAL/VENDAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,3,2,5,0,6,7.59999990463257
"20","1","K","PROFESSOR","COMERCIAL/VENDAS","JUNIOR/TRAINEE","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",0,2,1,6.125,7,5.98999977111816,6.29999995231628
"21","0","K","ESTAGIARIO","INDUSTRIA","ESTAGIO","POS-GRADUACAO NO NIVEL MESTRADO","PROGRAMA TRAINEE","NULL",1500,4,0,7,0,7.32999992370605,8.09999990463257
"22","0","K","OUTROS","INDUSTRIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",3200,4,2,5.625,4.125,6.59999990463257,6.33500003814697
"23","0","K","EMPREENDEDOR","TECNOLOGIA","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1000,4,1,5.625,0,6.65999984741211,6.19999980926514
"24","0","K","EMPREENDEDOR","MARKETING","DIRETORIA","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,4,8.57499980926514,0,8,10
"25","0","K","EMPREENDEDOR","COMERCIAL/VENDAS","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",1000,4,1,6.00999999046326,0,8,5.30000019073486
"26","0","K","TRAINEE","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,8.31999969482422,6.80000019073486,6.50500011444092,10
"27","0","K","PROFESSOR","ENGENHARIA","JUNIOR/TRAINEE","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2700,3,0,6.25,0,7.32000017166138,7.5
"28","0","K","VENDEDOR","COMERCIAL/VENDAS","PLENO","POS-GRADUACAO NO NIVEL ESPECIALIZACAO","PROGRAMA TRAINEE","NULL",3000,3,1,0,0,0,5.40000009536743
"29","0","K","GESTOR","COMERCIAL/VENDAS","GERENCIA","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",2700,4,2,7.74499988555908,0,6.82999992370605,8
"30","0","K","ANALISTA","LOGISTICA","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",5500,3,1,7,0,9,6.34999990463257
"31","0","K","ESTAGIARIO","ENGENHARIA","ESTAGIO","FORMACAO SUPERIOR (CURSANDO)","PROGRAMA TRAINEE","NULL",1123,3,0,8.25,0,5.5,6.54999995231628
"32","0","K","GESTOR","ENGENHARIA","PLENO","FORMACAO SUPERIOR COMPLETA","PROGRAMA TRAINEE","NULL",0,4,2,5.75,6.125,5.32000017166138,5
